id,run_id,recorded_at,latency_s,buffer_ahead_s,dropped_frames,total_frames,stall_count,playback_rate
264,1,2026-08-24 12:32:07.510025-04,6.922,4.02494,2,8042,1,1
265,1,2026-08-24 12:32:08.510166-04,6.907,5.030507,2,8072,1,1
266,1,2026-08-24 12:32:09.509399-04,6.909,4.032298,2,8102,1,1
267,1,2026-08-24 12:32:10.508425-04,6.914,5.015643,2,8132,1,1
268,1,2026-08-24 12:32:11.511582-04,6.914,4.015991,2,8162,1,1
269,1,2026-08-24 12:32:12.512755-04,6.917,5.018216,2,8192,1,1
270,1,2026-08-24 12:32:13.509854-04,6.918,4.020775,2,8222,1,1
271,1,2026-08-24 12:32:14.509812-04,6.925,5.026152,2,8252,1,1
272,1,2026-08-24 12:32:15.507578-04,6.924,4.026349,2,8282,1,1
273,1,2026-08-24 12:32:16.510411-04,6.907,5.029227,2,8312,1,1
274,1,2026-08-24 12:32:17.509178-04,6.906,4.029973,2,8342,1,1
275,1,2026-08-24 12:32:18.51032-04,6.912,5.012975,2,8372,1,1
276,1,2026-08-24 12:32:19.509722-04,6.912,4.014417,2,8402,1,1
277,1,2026-08-24 12:32:20.508895-04,6.917,5.039959,2,8432,1,1
278,1,2026-08-24 12:32:21.509429-04,6.916,4.039474,2,8462,1,1
279,1,2026-08-24 12:32:22.51035-04,6.923,4.997011,2,8492,1,1
280,1,2026-08-24 12:32:23.551772-04,6.924,3.999265,2,8522,1,1
281,1,2026-08-24 12:32:24.509313-04,6.909,5.004686,2,8552,1,1
282,1,2026-08-24 12:32:25.507952-04,6.909,4.005544,2,8582,1,1
283,1,2026-08-24 12:32:26.508286-04,6.905,5.007419,2,8612,1,1
284,1,2026-08-24 12:32:27.508819-04,6.908,4.010112,2,8642,1,1
285,1,2026-08-24 12:32:28.509051-04,6.893,5.015136,2,8672,1,1
286,1,2026-08-24 12:32:29.507946-04,6.892,4.015842,2,8702,1,1
287,1,2026-08-24 12:32:30.513291-04,6.898,4.99937,2,8732,1,1
288,1,2026-08-24 12:32:31.508928-04,6.897,3.998989,2,8762,1,1
289,1,2026-08-24 12:32:32.508464-04,6.901,5.024152,2,8792,1,1
290,1,2026-08-24 12:32:33.513323-04,6.901,4.0248,2,8822,1,1
291,1,2026-08-24 12:32:34.508711-04,6.907,5.009396,2,8852,1,1
292,1,2026-08-24 12:32:35.509239-04,6.906,4.008382,2,8882,1,1
293,1,2026-08-24 12:32:36.50801-04,6.891,5.01431,2,8912,1,1
294,1,2026-08-24 12:32:37.508305-04,6.89,4.013104,2,8942,1,1
295,1,2026-08-24 12:32:38.509665-04,6.918,5.019807,2,8972,1,1
296,1,2026-08-24 12:32:39.509244-04,6.919,4.021627,2,9002,1,1
297,1,2026-08-24 12:32:40.510263-04,6.903,5.02565,2,9032,1,1
298,1,2026-08-24 12:32:41.511183-04,6.903,4.026279,2,9062,1,1
299,1,2026-08-24 12:32:42.510376-04,6.907,5.008604,2,9092,1,1
300,1,2026-08-24 12:32:43.508064-04,6.908,4.010005,2,9122,1,1
301,1,2026-08-24 12:32:44.509955-04,6.914,5.036591,2,9152,1,1
302,1,2026-08-24 12:32:45.507557-04,6.914,4.037274,2,9182,1,1
303,1,2026-08-24 12:32:46.509154-04,6.919,4.999532,2,9212,1,1
304,1,2026-08-24 12:32:47.508184-04,6.918,3.998971,2,9242,1,1
305,1,2026-08-24 12:32:48.508971-04,6.902,5.003229,2,9272,1,1
306,1,2026-08-24 12:32:49.508826-04,6.902,4.003736,2,9302,1,1
307,1,2026-08-24 12:32:50.507594-04,6.906,5.029881,2,9332,1,1
308,1,2026-08-24 12:32:51.507943-04,6.906,4.029383,2,9362,1,1
309,1,2026-08-24 12:32:52.507935-04,6.89,5.013243,2,9392,1,1
310,1,2026-08-24 12:32:53.507601-04,6.891,4.015487,2,9422,1,1
311,1,2026-08-24 12:32:54.507981-04,6.898,5.02127,2,9452,1,1
312,1,2026-08-24 12:32:55.507006-04,6.898,4.021584,2,9482,1,1
313,1,2026-08-24 12:32:56.509634-04,6.921,5.022382,2,9512,1,1
314,1,2026-08-24 12:32:57.508973-04,6.922,4.02465,2,9542,1,1
315,1,2026-08-24 12:32:58.508809-04,6.909,5.031454,2,9572,1,1
316,1,2026-08-24 12:32:59.508317-04,6.908,4.032246,2,9602,1,1
317,1,2026-08-24 12:33:00.5075-04,6.914,5.015813,2,9632,1,1
318,1,2026-08-24 12:33:01.508095-04,6.913,4.015382,2,9662,1,1
319,1,2026-08-24 12:33:02.508946-04,6.919,5.020345,2,9692,1,1
320,1,2026-08-24 12:33:03.508414-04,6.918,4.019935,2,9722,1,1
321,1,2026-08-24 12:33:04.50902-04,6.924,5.024955,2,9752,1,1
322,1,2026-08-24 12:33:05.507866-04,6.922,4.024226,2,9782,1,1
323,1,2026-08-24 12:33:06.50881-04,6.906,5.029869,2,9812,1,1
324,1,2026-08-24 12:33:07.509514-04,6.906,4.028359,2,9842,1,1
325,1,2026-08-24 12:33:08.509952-04,6.913,5.014218,2,9872,1,1
326,1,2026-08-24 12:33:09.51011-04,6.914,4.016094,2,9902,1,1
327,1,2026-08-24 12:33:10.507889-04,6.919,5.042543,2,9932,1,1
328,1,2026-08-24 12:33:11.509551-04,6.92,4.043653,2,9962,1,1
329,1,2026-08-24 12:33:12.51043-04,6.923,4.997135,2,9992,1,1
330,1,2026-08-24 12:33:13.508924-04,6.924,3.999548,2,10022,1,1
331,1,2026-08-24 12:33:14.510045-04,6.909,5.004476,2,10052,1,1
332,1,2026-08-24 12:33:15.506958-04,6.907,4.005325,2,10082,1,1
333,1,2026-08-24 12:33:16.512726-04,6.908,5.008798,2,10112,1,1
334,1,2026-08-24 12:33:17.509322-04,6.908,4.009943,2,10142,1,1
335,1,2026-08-24 12:33:18.509319-04,6.892,5.01411,2,10172,1,1
336,1,2026-08-24 12:33:19.507877-04,6.89,4.013699,2,10202,1,1
337,1,2026-08-24 12:33:20.510184-04,6.896,4.997441,2,10232,1,1
338,1,2026-08-24 12:33:21.508117-04,6.896,3.997992,2,10262,1,1
339,1,2026-08-24 12:33:22.510398-04,6.901,5.001769,2,10292,1,1
340,1,2026-08-24 12:33:23.50874-04,6.902,4.003843,2,10322,1,1
341,1,2026-08-24 12:33:24.508378-04,6.909,5.011269,2,10352,1,1
342,1,2026-08-24 12:33:25.507579-04,6.909,4.010828,2,10382,1,1
